vid,did,vid_hex,did_hex,family,source
16,33081,0010,8139,GenericPCI,pci_ids
20,15119,0014,3B0F,GenericPCI,pci_ids
20,15369,0014,3C09,GenericPCI,pci_ids
20,15375,0014,3C0F,GenericPCI,pci_ids
20,15385,0014,3C19,GenericPCI,pci_ids
20,15401,0014,3C29,GenericPCI,pci_ids
20,15417,0014,3C39,GenericPCI,pci_ids
20,31232,0014,7A00,GenericPCI,pci_ids
20,31234,0014,7A02,GenericPCI,pci_ids
20,31235,0014,7A03,GenericPCI,pci_ids
20,31236,0014,7A04,GenericPCI,pci_ids
20,31237,0014,7A05,GenericPCI,pci_ids
20,31238,0014,7A06,GenericPCI,pci_ids
20,31239,0014,7A07,GenericPCI,pci_ids
20,31240,0014,7A08,GenericPCI,pci_ids
20,31241,0014,7A09,GenericPCI,pci_ids
20,31243,0014,7A0B,GenericPCI,pci_ids
20,31244,0014,7A0C,GenericPCI,pci_ids
20,31246,0014,7A0E,GenericPCI,pci_ids
20,31247,0014,7A0F,GenericPCI,pci_ids
20,31248,0014,7A10,GenericPCI,pci_ids
20,31251,0014,7A13,GenericPCI,pci_ids
20,31252,0014,7A14,GenericPCI,pci_ids
20,31253,0014,7A15,GenericPCI,pci_ids
20,31254,0014,7A16,GenericPCI,pci_ids
20,31255,0014,7A17,GenericPCI,pci_ids
20,31256,0014,7A18,GenericPCI,pci_ids
20,31257,0014,7A19,GenericPCI,pci_ids
20,31258,0014,7A1A,GenericPCI,pci_ids
20,31259,0014,7A1B,GenericPCI,pci_ids
20,31261,0014,7A1D,GenericPCI,pci_ids
20,31262,0014,7A1E,GenericPCI,pci_ids
20,31266,0014,7A22,GenericPCI,pci_ids
20,31267,0014,7A23,GenericPCI,pci_ids
20,31268,0014,7A24,GenericPCI,pci_ids
20,31269,0014,7A25,GenericPCI,pci_ids
20,31270,0014,7A26,GenericPCI,pci_ids
20,31271,0014,7A27,GenericPCI,pci_ids
20,31273,0014,7A29,GenericPCI,pci_ids
20,31278,0014,7A2E,GenericPCI,pci_ids
20,31279,0014,7A2F,GenericPCI,pci_ids
20,31284,0014,7A34,GenericPCI,pci_ids
20,31285,0014,7A35,GenericPCI,pci_ids
20,31286,0014,7A36,GenericPCI,pci_ids
20,31287,0014,7A37,GenericPCI,pci_ids
